"","WT1_25_Slot2-5_1_3496","WT1_50_Slot2-9_1_3502","WT1_100_Slot2-4_1_3495","WT1_Veh_Slot2-2_1_3493","WT3_25_Slot2-6_1_3497","WT3_50_Slot2-10_1_3503","WT3_100_Slot2-11_1_3504","WT3_Veh_Slot2-13_1_3507","WT4_25_Slot2-14_1_3508","WT4_50_Slot2-7_1_3499","WT4_100_Slot2-16_1_3510","WT4_Veh_Slot2-12_1_3505","WT5_25_Slot2-8_1_3500","WT5_50_Slot2-17_1_3511","WT5_100_Slot2-3_1_3494","WT5_Veh_Slot2-15_1_3509"
"Soga3",101887.936434691,90916.3392722045,96412.2259623138,88752.2957624662,93353.1565929982,97316.8562260136,96694.6514891715,93716.3543418044,92009.3561826107,90460.7208185625,95347.3002909461,93121.5343116779,104190.213060439,94028.0605813082,94156.9856821464,96847.607816942
"Clpx",25743.5439492575,25220.4754853853,21043.1406338879,26827.5233934702,28940.0515345605,26095.9973388975,22538.344389035,33214.5628561718,28899.9608620039,25265.0262847068,18643.9920266983,28742.8528094822,31859.6290881364,26578.2516141685,23693.1130108204,31660.1371831933
"Ddrgk1",46745.2872662259,34441.8756657264,34408.0941844016,41267.9686221723,34992.8711320726,42681.5288229665,39596.7042130037,43557.681728415,32653.1042623882,39160.3738031745,47451.3348971599,45801.1261547727,40610.9710789255,43827.9606997787,31956.5028703108,42163.0424234305
"Mogs",149965.467321071,180053.88432663,188082.389069422,168703.168794322,192916.221111669,198134.646041286,206851.659556867,189623.166038308,150415.280542418,157696.826930181,155013.83290318,164489.017803231,185410.754826164,188302.563786295,217974.71885782,165980.086841054
"Uap1l1",88470.1213578831,91544.5497102744,87263.8646705617,93805.8814651543,91047.5903553546,98469.4517167135,87294.9332734281,89270.6658156733,80472.7218531685,101733.737904251,78972.8264171846,94715.6510233216,88548.2319152257,87454.6604699494,89245.0407116634,89515.9348267923
"Mrps7",43327.7393564803,46159.9122080354,41350.0290319138,41824.5856945347,45350.9658202949,41386.9854854628,47295.6512205136,49351.951860373,41734.5811709555,45531.4404775684,40262.7913969039,44790.6466061768,43527.7615895452,39510.1650255725,38522.6597950641,45055.3202483958
"Srgap3",28361.1849039935,25993.9311258424,29463.7516639965,29709.5320952276,30463.1933233789,29849.8906815783,32305.0318051103,27870.4165877479,30812.469904801,28412.6969954125,31109.3907956342,28061.3070971946,28364.900966411,27629.2198696145,31100.959358254,32375.9865574128
"Ranbp6",13498.8908506663,14788.8713546935,14838.3890615038,10480.6829168747,13804.8819496789,17567.9855777845,15195.9362276165,11105.553270513,14846.4074121972,13126.5430225996,12528.4287838039,9898.96524564285,15243.2180545627,11016.6359214878,15690.0337892403,12909.6684614326
"Psmg4",5344.34159055193,NA,4963.92867560059,6732.14470018326,5039.38309968015,NA,5451.86558024844,6402.92546807944,6310.80943851011,6238.67576322252,5133.65898399639,6250.97321456386,5936.44521238296,5814.21551068425,4999.57416689308,7140.20334281424
"Apex1",107725.327425848,96138.857464714,79233.0832334679,92068.5733899688,87376.0128837564,103246.599359701,93608.3794165823,78816.0497820559,82959.510909663,92745.9993887324,96302.7971954495,99496.4127596672,91788.1041731664,95442.0512096982,79292.595485449,83586.2479555782
"Mical1",101494.421538106,110080.984791304,107757.158009905,109081.644578895,116463.876465069,128799.766543032,113256.532586659,100776.248053131,97876.1924378215,106135.895836421,100706.577965287,105195.949371668,108839.792877559,107742.813251879,121889.81270728,108170.982953181
"Gng2",49144.7844802992,57417.7644628592,86624.8793361728,16014.4224635582,38409.0195105872,124710.716272981,37999.0762335334,35562.932893922,47484.5618577443,40505.0097010792,79450.6940475758,33675.3796547994,60641.7058865533,41016.8127128389,43225.1077927767,27797.7032033346
"Zfpl1",26793.9999716179,29833.6843698788,29613.7542220445,27069.9189598542,34302.1938256109,37466.5751822388,31643.0610912247,29864.2634424003,25760.2025641505,25485.431566911,32052.2882019878,31160.3265099471,24036.2894892819,27999.1797495959,36765.5001010171,28377.890210807
"Edc4",87185.3922778623,83873.7469754636,81407.9882520555,68719.3357443453,80168.4560630495,78739.2184588461,80851.7294020575,62813.3261627035,71234.9531382835,79961.9083107877,74332.3678988757,66085.5933328201,79564.9679997257,78043.8574282132,84639.6548174107,64724.663582513
"Inppl1",12965.0503454739,14385.8440167501,12200.0207850117,15918.57531061,12208.4800874217,12282.7485675927,11753.7773431582,16110.8891557778,13254.1745006799,14726.5613760603,10313.4516149524,14696.6569600509,16665.3032618305,10849.0101618037,12572.5263072908,13946.6741410837
"Cdc27",16370.1194446487,17835.0959571147,20476.4274172892,15933.2971758189,18799.592790698,18307.944698508,17641.9981495111,15787.7732956837,16431.2977985801,18276.6678333589,16607.5234532429,15068.6330863506,18512.1917340456,16715.0408651394,18581.8287291315,13136.5453701956
"Septin6",102763.486103976,99618.8734442677,83887.1842878351,112873.6130379,116088.505715111,119084.931559089,91993.966979992,97411.6160250635,100240.490875232,115186.665810199,94038.7020263623,99148.9737981067,119194.985045802,76481.7457041902,90768.7368593719,98543.0457565005
"B3gat3",63612.0283205346,69232.5677587044,88579.742842238,66920.5504628343,77085.2770814391,63157.5697940048,81702.8168615934,71602.5652606587,71584.7882820175,67119.816360229,59035.5812904035,63144.8367646058,75859.2700000032,67482.7579365027,85649.6237771407,73253.16182433
"Nckipsd",36545.7571061496,32570.5384098271,32891.5551194892,34282.1357182495,38276.2065526692,38511.7341981536,37537.3916215913,32711.9331028886,35509.4762464976,34408.2943850484,36798.1902878588,30683.2662669833,35853.9013467709,35556.066799938,33331.9541005701,33287.2904754497
"Fh",489990.719131684,543445.587062921,608256.761105021,517092.428236307,554470.053792029,530612.514890612,545155.856867403,551413.378355344,504483.963145102,520229.200915544,491944.220273551,475986.581041603,550553.140802592,482405.108042778,593940.712689018,493172.464236339
"Tpbgl",38023.6160021067,33285.3892140034,31303.1052074714,33264.342514699,36193.3689937077,40134.0979392642,40511.5264392788,40727.2589706334,35852.2812741607,33446.891965382,29835.2961269297,35738.2393977764,38941.0126981117,41054.6201416976,29474.9723180791,48326.5251568433
"Tln1",283383.372510054,272252.695163247,254766.953432579,356970.056780487,269277.097096738,276007.394103847,235436.731649887,325333.877221096,254271.515504208,272309.501112685,253201.648546027,367171.524041917,270845.609774453,248596.604250783,247683.751011287,316635.571288503
"Tomm70",245045.916686828,280602.494129512,313797.252426131,209911.32448799,265956.975983907,286853.39188995,277609.904611212,211380.595001202,238905.787926795,241334.461409434,248226.045309194,210626.00546571,272113.611352514,266934.568016136,306500.242419075,201726.722818308
"Alkbh7",13554.0794842964,14025.3200484046,NA,NA,16337.5892451349,13197.1901169551,13180.2539791671,13918.9815163576,20349.2680045389,16412.8780983235,14141.8667262453,15192.788742233,NA,16722.4010082594,13452.8815121072,12144.3092021032
"Efhd1",10411.5132055382,12272.6187757881,14534.4503716163,15430.331306286,8984.23713754483,10950.2789767789,13117.0381760788,12690.4689054376,10287.5747531784,15288.7541179864,14338.1973979324,13102.9779502323,10378.3229499439,11712.3675538071,12691.5763796761,14714.6759410193
"Rufy1",47422.0671609988,48968.6287477859,53098.1004050281,45632.4843397377,47722.3605850742,50360.9655108322,52539.2741057578,49557.4562542328,50834.1323416109,56456.4255559169,52680.9815110423,51222.5418515225,47843.9574729918,49761.1030141782,56851.430975572,43975.2436739501
"Tars3",89610.9804200093,98328.1702953198,119028.859468314,71788.6344810281,93089.5995613034,93240.5122789716,109767.549702211,72612.9926868563,86385.8091510846,100651.330434935,93286.7184173596,67686.1127042538,92722.1827076522,95780.1797487096,108104.239057415,69112.4609856517
"Ndufa8",543265.244725797,508772.789339815,576463.467633672,375740.774603148,477721.212927701,522512.829889067,490882.771225165,424618.671229168,426233.467551706,376915.9006845,431055.530376488,432104.134449661,489908.665031059,458940.064266843,504242.022110528,411855.801295122
"Sema7a",11868.8084947642,9626.98810258698,9374.45574065254,29317.8182570046,11377.0755670391,11533.2014786733,9846.46463035885,28017.3310141648,11441.8045744069,9072.53883243161,9785.63467481247,36307.2187936063,11320.6495401854,10135.8137928495,8200.95919155414,27092.3912438828
"Postn",365872.097849319,331117.089398884,224865.768101985,217814.812888045,249729.003251238,235112.925403066,256320.151563299,235543.231356518,225214.623654151,279687.438184438,232419.003155593,182389.956657785,251195.233684636,288113.67042472,224697.457857529,226345.265985618
"Ndfip2",16205.9737710396,15492.0928062419,14875.5939350243,17633.2312384385,17363.9796802119,14860.3955213714,14946.2762290397,20290.6699672662,13319.9573731168,16012.3504867216,15959.2855156881,17037.0652356941,16254.6026971615,18067.2596932756,13157.2789002168,20192.1847927084
"Aoc3",32784.9100848732,41761.7615398922,30268.6838543723,37060.1104457981,36905.8915145886,48891.9065348669,44330.0821584525,33216.4667258609,34832.5947937851,58184.7684174992,52416.2845044775,39007.0148426504,35624.2760404397,38082.4377758814,32624.1039254224,36233.6735487942
"Ckap5",97482.5573622015,96190.3006683956,98508.6578431262,107174.918293941,107149.643336392,113567.109039297,109615.58018221,106005.769477798,93744.5323253629,95228.9201638158,101378.374587258,108282.637641284,99602.8779666266,102192.267731062,107763.122748926,103634.013083018
"Sh2b1",14211.6324424171,13151.5336150971,12163.6108934737,11319.8932244286,11974.5563608739,14287.4952752808,11952.2279652727,13486.6558300539,12881.9162875898,12719.4599291876,13071.8827648134,13673.651022415,13348.3753864982,11482.717574665,11526.9666868918,12599.8695383858
"Stip1",507081.018278468,490070.334033417,483494.077583191,519819.391371628,473910.880715191,512286.761106827,447024.652570385,463474.803603389,427738.617982324,446860.442609506,465375.811757038,521036.774136509,469267.44612049,448571.69190858,522597.70259659,500156.504079164
"Tsc1",8454.53370498838,9017.48814734642,8842.22904014632,7727.23222667053,8161.97646637695,8852.6920741973,8475.80786818659,7759.90483298441,8902.25890946026,9024.7229834291,8195.32340695618,7192.41684424971,8857.66949075624,8801.32611179564,7440.61466561109,7273.33773502973
"Nnt",NA,NA,NA,NA,92592.3653512621,93306.7121753146,97402.5905001458,77683.873417026,12040.0252054669,NA,NA,9102.36641318606,86793.8491009571,96025.7114413614,91352.4032032255,67133.6396905565
"Ank3",66655.7700189428,75348.7915942906,65117.2498726111,85522.6602637676,67032.394134102,71935.4732340953,59468.3595172986,79155.8600190873,68565.4909439047,60627.7716010787,67592.9019930602,89809.6157067859,70137.6976607641,61685.2045141956,65324.9936183075,90914.5971077424
"Bcar1",18439.2433574213,12822.9433549371,11071.2323191336,19553.9020487293,17811.2078331342,16149.2828491775,10015.1724059061,17298.0492134455,19256.5286628746,15650.6687322147,12832.2945132175,17420.2468950791,17473.7287953454,17105.2119521148,10568.4192935457,19604.86523712
"Efnb1",31869.3200011899,42752.7232134998,43100.5934994663,30088.6144094492,33786.8894889175,34417.4245099331,37930.756876625,26470.54216662,35509.5134351004,44970.1525503589,36142.3406118873,28593.8144891806,35172.0987712089,30712.6295633487,34214.3469804094,25596.819720372
"Ctnnd1",127564.044820468,127098.011177255,113140.427510219,132628.390119623,116558.695078074,126938.060165701,102766.893752007,142833.962520662,127720.593664938,120812.849267581,124036.970674031,144734.265409217,129391.657841666,112164.906747857,105007.222266617,129845.833890675
"Rbm39",70585.3541252079,68779.9489702431,61969.0352314032,80212.6269875537,70083.946196612,72728.3782242928,60518.9404889289,66683.4266071219,70741.4242208146,71377.2732609772,67005.0093540669,75950.1803768919,72670.3153250249,64491.6595150599,62303.6213916824,68857.7493264653
"Chchd3",271849.721583122,267095.220867052,297626.523162548,183235.179814151,233041.591503935,269151.824519077,255851.562880659,263703.213302426,239122.744181205,222048.77301461,270106.622324082,225278.966525265,257843.021276964,259983.912734043,259880.444720098,224380.256450191
"Mepce",11754.5699916397,9518.42587853197,8650.84569175192,9127.75174436684,10553.4877496687,8101.23248026236,7706.66016385894,9073.9772229376,8545.56837931407,9163.59512969433,8844.79557837483,11665.3665564629,10092.1476033037,9933.44090627318,7810.13256839642,8510.7927529416
"Eef1g",1139361.25336877,994287.014698102,1174859.82067363,1031579.11115466,1104966.51659987,1177140.92153122,1113461.92607447,894126.350585478,891281.196923335,988272.982277061,1065649.42918773,992791.329819311,1087943.84290826,962253.919189509,1328395.83977839,954053.983809489
"Ddx20",15576.4903554918,18391.7156107033,18166.384961679,15019.681252968,17789.5732871923,19429.4194507927,19043.4414243228,18167.8652647679,18208.7840660509,18996.970144435,15793.7665053497,15482.2558605805,18585.1071896378,17766.2916424805,16524.8459652386,16129.272693559
"Copb1",186476.458346517,160668.618742153,166079.927623479,153974.313811858,173118.616172949,177668.344404175,173941.999661123,153938.919437604,130428.811765977,156284.654573049,183181.78058666,177154.018331588,153305.814151436,169762.58402346,188882.394994855,138562.913266002
"Rb1cc1",13758.904498986,12310.601862584,11620.1163371651,14097.4343190942,14755.6973020735,12011.5127356804,11054.9093081851,14070.0677784593,13316.5982289136,14143.3274936525,11481.9113308936,13279.0149320727,14405.3489412328,13754.7548644357,12365.2410817569,12254.5875304961
"Nol7",11836.0158260418,9869.98519605957,10345.5918042103,20336.9355552932,10641.7773366335,10196.3951760731,8386.51287732276,21455.2821126397,14618.986940385,12139.8337595532,9575.69820137929,20945.8745919626,10134.1067671753,10716.9299095922,7153.65271296755,22995.5834791421
"Golga2",39320.9601237125,38017.7600982143,42226.9304286547,37038.3576357841,39373.2793141698,35450.6687058306,39520.8977467549,37876.9565781043,36547.8570208717,34186.8653161272,34595.3656197639,38523.3757167681,38717.6232056005,39322.9240881208,37856.4002909939,34224.9073931419
"Septin11",314128.484783245,297717.948874822,262860.472760321,293932.182617236,270697.048019398,293726.648594791,265594.250418111,300132.241179846,285984.216540948,318140.692896058,289973.999432752,297736.448634859,299900.023863058,296046.523875241,269911.191529078,318703.526934431
"Pnp",100284.063541624,89549.8015952683,70916.0909200327,115267.667501661,97963.0954888281,84677.6864983992,69441.7151112695,84679.8652233771,89950.4454300566,104255.47191762,74602.8293353637,111701.576479405,98703.7906921172,86052.6637383826,75473.162965536,95329.2179431567
"Ttc4",18635.8240580994,16960.8054321099,16926.2163274649,18120.8096204221,17001.3954922625,18805.0759737176,16769.8861886829,20774.2816675336,19285.9722486502,17980.7141929532,16783.3758875936,15510.457476267,20251.0207878692,18777.6036437835,18125.9716734182,18345.1699186215
"Mecp2",166404.934558246,153676.180763979,137809.426846616,144697.456378517,143661.451736263,144404.16104376,145160.264169719,133204.437825513,139070.301408642,161867.486470584,139341.847662541,129952.954597195,130508.606172384,137746.651698972,133266.26859146,127302.442748588
"Rab3gap2",106184.991970477,98896.5541263375,101681.699293159,105839.237582907,113586.83914572,105350.910466954,109685.869541431,104353.399026998,111828.641994989,103641.213026274,104360.756456506,113385.098024397,113412.280075947,113393.775366135,113720.051023762,107640.350734746
"Itm2c",35272.9247460146,32879.1240645039,34507.8167313081,44773.4579242731,34916.5788326137,33420.0655531818,34353.5383185973,47871.987724327,32073.8635240599,34739.6076018618,30092.9422494406,39519.7431495124,40206.0420214695,31849.4256584332,32877.4455826287,47772.204272441
"Ctdp1",17640.5563896237,15303.0075853914,10635.0206177785,18338.4761163926,15098.5342221718,14035.5932349967,14530.1602289602,20757.4636916651,17636.4516324843,15373.9636539172,13346.8915091153,17857.3391565602,16024.0677469214,15229.7902000038,12378.5670412039,20090.3811799386
"Pdha1",1396986.25771006,1452033.11810344,1404628.1400674,1201953.75475941,1446889.91318023,1382837.19118379,1323864.6327518,1388514.91234676,1265328.0961826,1255750.40643497,1045231.26002183,1278525.78317374,1422261.52232963,1361125.55743258,1417862.31225264,1233110.78064255
"Cep170b",21260.4620641402,18888.2313805496,14697.3682388666,23134.0449208285,24820.1322781002,22244.8529189758,16940.3280616293,22335.7784812832,24414.9026166497,20081.5567960241,17618.9409184514,21748.5155948608,25951.2413594413,19839.3305440292,16043.4540071717,23815.1719400503
"Acox1",127602.663229543,117657.012620359,109686.412285029,110281.089911027,128706.282324148,119074.363817605,121289.311584784,119014.785770525,107412.019407987,107339.254959148,108257.098636402,99370.5894440594,123314.407844991,145118.144903716,128344.44738818,113229.057941959
"Irf2bp2",9427.74838816091,6149.9261451584,5317.26271700376,13374.777569711,7055.63049577973,6540.00335579767,5498.78741870272,9966.64753944921,7256.30710397032,7791.03874767007,5713.97216225501,11524.2043314162,7463.26920153629,6063.2401872584,5127.95259018311,8555.31528650762
"Slc4a1",80266.8269141051,110731.915281508,134484.217906331,90612.7268713174,87898.8016963686,101963.224481783,94462.1685481825,61676.9017151122,143551.4087299,155357.220556935,138014.623492407,119782.606541335,87378.8556337162,79673.6922471431,111289.314046887,57917.8990165936
"Marcksl1",125465.729721754,96428.7452684552,99012.5118287564,90236.8148514439,102914.51925837,110947.483536246,111897.414332517,130282.289357371,97140.6345749002,123495.471499496,115086.261489282,111067.276358987,119351.712769099,96345.246795987,82719.0892111071,98340.3611540555
"Snd1",182327.86053867,179712.962996675,205252.043755584,268112.73092546,199708.414761495,184689.437375999,224095.067626059,211660.867213339,171239.825563544,178502.300062148,212974.369643191,241915.783313956,172067.841169733,181177.238789581,222962.849682891,234985.211522902
"Pank2",10769.1145783899,8108.64232418019,8897.64479211489,10293.888582262,8661.75332885673,7838.67422691459,8948.16584482657,10022.9396966331,10038.2953373144,10883.200997647,11154.3648628276,11349.1196157437,8675.96853222748,9823.9072433858,8211.38099660522,9798.65209274568
"Bcr",17005.5960384572,16199.0742426695,17266.2420969829,21009.7759167391,16837.6792414583,16650.445451391,16796.3838041564,20147.696549058,16402.0468804603,19583.979339378,18394.9482457837,19534.8574391488,17333.0194049488,15484.0963234045,17185.0785334447,18526.064003604
"Rab3gap1",33714.3040008145,31942.3946472701,32640.5498198386,33279.2639629518,34219.1404882651,32399.0001208031,36525.849861716,31199.1507974894,34054.2276456099,34162.4833839482,35892.6915152833,33777.3653598132,33548.9139748623,34525.9124135711,34568.1943742132,31500.0264613191
"Snx13",15392.3358983646,16586.2324091663,19138.0341527773,16029.0579716603,17535.5726699756,16600.8361706846,19348.8663119928,14846.2405652896,17209.1603742855,18075.8048729302,18069.931233465,14108.3503997278,17065.9195675922,17965.3376317564,16665.3754100405,15984.901769906
"Vcl",546563.120294715,574482.722513645,498081.791986743,575016.377483862,516251.422615876,502623.999687577,470344.139679047,460339.684884369,479872.866316991,557283.529864518,503067.144941896,515038.511046103,485765.166964592,489445.990823757,495704.040411526,491325.77304025
"Kcnd1",49708.5623961977,45466.4074881224,49254.1140226648,44694.4826008216,55940.1773432583,54064.1646467048,45918.3955359778,47852.3475516387,56599.4924976368,41755.6134131595,52631.4676652784,47936.3098433623,55899.2098656487,56175.8876056599,46444.3166089188,52137.3768439437
"Exoc8",24304.8335911457,23398.8279526585,24790.1286452779,26185.4930913751,23612.065562711,23447.2683411056,22875.293996403,23584.0891115417,25314.5939501971,25137.375943383,21958.0124342061,23237.2711893318,25018.8328808664,22921.4666607448,23055.4021742975,23922.6566304985
"Myo9a",16751.8786950857,17158.4494717647,19268.3780723487,15686.3003140567,16571.9940307698,17481.6830112232,16935.2030238851,16300.8218025811,18810.0107807643,16255.9570467212,16892.9289611889,14684.5988655037,16699.5293085391,16365.4117965329,17793.5156664134,15301.0599151761
"Htt",77535.3895733532,76905.4104027084,80861.0679028641,87466.524061088,83171.1314309658,84734.1965244858,80106.1534980667,83736.9439930404,75874.7796190733,76985.4830590035,78556.1097150567,83210.6478662794,80669.2843349089,77819.068880449,81917.1483178786,84053.9239416298
"Ints1",16825.8421881603,16251.279370799,18251.7601733923,17261.3719697126,18408.7831139917,16353.7271258143,15801.4416288938,14220.0744495123,17051.8506426716,16929.7372782215,15314.9338317911,15099.9111192389,15426.6203182511,14911.7549510802,15560.0544029276,15589.8090383003
"Psmd9",65618.5572644339,54828.1570137948,53671.2078451822,55973.5026876197,50125.8999832314,57863.185745637,49292.0933437292,56054.9021041429,49484.041322296,56376.4633569524,58377.7198684564,59096.847516993,51348.2013699017,51595.6882903588,47034.6796033126,55338.7491003005
"Fmnl2",156107.402208693,169131.266051477,162667.776919481,135676.589696205,140642.33755193,149646.596306686,146958.306018203,145510.555595647,162853.482023453,161704.867857804,161912.156377457,150510.757462275,143847.303804806,150589.817918038,138631.962508422,138272.983208928
"Usp34",14181.7403707903,11841.9618996018,13615.4237332043,14102.5979944004,16090.8715876073,13349.6835796052,12918.053501057,16002.7593505974,15794.5817961731,16104.6012388,11076.6540817423,12818.8336013245,15223.0843878527,12302.6984326282,12563.3025775643,14820.3651565185
"Cse1l",83444.4877179638,87057.4093982122,79110.8230018262,94392.6178394245,86936.31634369,93164.4831779479,83869.1119272697,94856.1688756149,85482.6093520505,93664.9856906536,86874.2464924565,104418.976919957,85201.9129043806,80237.7901884247,83884.1349246442,93013.9910401033
"Hdlbp",114129.003751942,82059.3691452178,95125.2848551644,166863.211883529,112188.42579465,93003.0334808643,98400.0355928684,142900.62057867,98580.0448352891,86686.7798309637,97901.9948697646,169755.965257499,100497.54722193,96836.4414918148,95297.2950802719,155598.318434004
"Lcp1",127532.910856094,100849.013909765,105603.903077532,110558.292404671,102345.368563981,116526.809764763,116287.485916167,143044.659503793,100070.580963165,128141.607387427,104171.377159084,118316.346005555,118549.93768414,110335.029781776,107685.308666874,123446.684005657
"Glod4",194908.30885848,192271.959608572,177048.265685725,154399.244978715,163922.861228827,182847.016062426,174902.982077476,178784.541940239,154977.626799366,180197.181944298,177013.804674363,176473.981878579,182314.133196994,171951.139253234,185621.273662035,146250.244253613
"Pfkp",490195.868683205,441949.144041075,417976.649168851,553845.722629464,514774.871771525,467464.923115886,419808.407627638,513801.442327164,413048.885376022,391907.149672781,416289.686120446,557900.633562118,465005.633649356,408268.128474804,490603.404264182,532899.6917599
"Wdr53",7707.15150078272,9391.817702139,9515.38518977728,6181.97654682611,8348.13914214414,7775.81734180376,7425.20071033453,NA,NA,NA,NA,6791.73585395376,9265.32480932396,6394.87593147207,9079.69007367875,2131.82321198905
"Tenm3",14734.183787557,15543.6930625575,16526.2497324312,37865.301587645,13771.7707589348,16735.0013890069,15895.0223407489,37340.2191647072,17335.2729176613,17678.66696595,17827.159941809,35069.4631069286,16543.4889496044,16584.6406045948,16345.1638361456,39784.7873926283
"Agk",178742.205796142,180689.129198556,193311.259981839,166681.281745028,197205.518897603,204612.60497749,176648.287664443,179616.389263018,171095.881339723,175038.321660856,177100.07932387,163756.929914219,181016.056138606,193062.944860199,221238.557117581,157875.180336176
"Ube3a",58956.2827758809,50456.7704688465,39312.4445013856,50495.5141363994,59594.0801042963,55275.5235950677,52321.4350512634,49643.4525216388,58547.0331601281,53288.1339141415,53426.406208147,55131.547217758,59607.1657501685,57658.642293568,50322.9057815121,52934.3250576714
"Dip2b",94979.6832274942,98638.5147728093,96934.9616444546,99176.6868050355,111228.727587712,111631.133334565,103354.15787867,106358.227871007,98228.9784574031,98994.7582103709,99358.7518288724,100156.69685603,103321.307604734,99264.9091304658,104835.894929343,99339.8809728609
"Micu1",53949.8904958091,64299.5005360677,62904.2966025704,55363.8941408361,61323.0345001236,62703.7262122416,59490.7538580072,55289.8755931291,63801.7092160284,54729.0296927655,56222.2812985926,54152.4626950299,61174.3850488259,59501.6882741226,64518.8838856362,58171.5412316507
"Dgke",65737.6605513507,86573.3765173488,99150.9560441628,59606.4055851223,84130.2369135709,85429.6230491361,89730.5598557278,69527.8297714531,79713.310369373,79628.5680075422,73922.1879587788,59594.0137431428,86735.6821080778,81521.2524672391,101409.455529626,62006.8136711646
"Fut11",10744.2804496793,16531.237525472,19261.4715606999,14315.2433167008,13062.9947119906,17629.1655947516,16151.9452850942,14455.8670984028,16855.2541450152,14211.8187746976,11909.0801129406,14519.2218677316,14391.0547238063,12800.017044591,15351.8405340789,15290.3398508825
"Pacsin2",115997.811961623,97750.7814026779,98069.1177328977,101635.244183549,94939.0282094506,94547.3910356609,86011.1605394842,103212.848832076,92622.0752391561,102843.623216708,112120.18246277,106146.21077767,102345.333707868,96354.3058461688,98282.695871479,100704.467049148
"Rabl6",60032.0332455181,64624.651437252,62624.6497000384,59096.1697632838,59527.7164188681,61541.4157343438,73561.974486583,66739.7651795211,71421.3790673263,66587.2908811819,79088.6332627714,61873.0331785704,58959.1073046607,70520.0497693766,64618.1987925962,70813.9246169327
"Magi3",222826.345797579,220564.448163519,214253.793286073,220825.141033347,237295.99122909,261551.717917896,241775.178794401,214697.615682959,212090.171156618,217330.564363009,261845.933646392,218262.442273627,220046.861102519,225339.256783004,244794.353288683,221824.193768187
"Dnajc6",40154.1477985994,39141.0862042369,39964.8158666227,37980.1096907535,40488.8434594073,45579.8975628738,42045.8536991687,41875.5961769203,38597.9472387659,37627.4629124788,40922.1221128022,38968.9481474263,40052.5276905065,40528.3207698515,44509.0755559007,40055.1882244702
"Vdac3",489901.747983169,575945.890440524,629400.109407291,568301.03057785,601530.894922488,561189.622291447,514450.741988775,559588.873031486,333183.499157178,433749.328837661,457580.036753706,510071.880979817,526775.610700976,515436.264419443,670271.034532338,364138.494594294
"Dglucy",31472.950447701,33302.4812518311,29286.8982580157,32256.3387311062,37865.4522329386,31786.6491215059,32189.3939637952,32069.1963423278,35630.7080288461,36911.0087900555,27835.5001912037,33539.0858588203,32526.6388044969,33880.5942437239,29559.1428833487,33514.5997005464
"Smtn",16535.1042906493,15725.4121263158,17464.5780380792,20681.8474608482,15935.7685318036,17414.8993934808,17309.4516235522,21596.7191639968,18983.8365211106,19206.1345373609,18717.7788865921,21267.5979118135,17558.2761342322,17933.4434818336,15750.731454673,20871.0167280949
"Stat5b",40474.9957270087,41354.4623069958,35313.5685269437,45985.6052171821,42342.044254216,41943.4011697911,37842.2293088515,39099.7636141232,36752.0460364158,40953.81457267,40501.3682059988,48319.3146863051,37897.3525506375,40255.2993357662,37157.7595542042,44104.7905846902
"Prpf3",26601.1492052054,24989.4858901637,19991.4518335571,28636.5346886279,26804.453489928,27952.7451314929,24003.9498398704,28167.5740618137,26593.5087103905,31361.820056903,24187.5084682825,27939.8731274956,25943.0647009204,24669.4216413318,23916.4225962187,27065.4398255933
"Gbp4",54317.3459139111,38685.7031321458,36319.9938850973,46267.8271987861,38324.4136501878,30975.5390642488,28245.0801860345,37779.2641602578,47220.3452365625,46299.85308133,33451.533684029,42280.4704279338,36156.7059894605,44975.898225602,29725.3608967267,37616.4764106003
"Cand1",203305.684588059,207386.773856911,179014.819162165,207774.307316019,209972.869928725,222011.821784322,186254.740613923,198815.590835297,192280.624196713,203760.608796114,190269.602036731,205505.433105483,220028.785036899,186375.346667201,202856.612553804,202805.619742337
"Atp2c1",30778.2266164053,32505.0125470865,37021.2557682637,32400.1568790178,38594.7789863493,34620.5092371535,33996.9946206735,29044.239150982,29154.2488607804,31484.1065682025,30705.3829440209,29865.4144032873,36196.4262697533,34622.4151890971,37323.5165788185,29468.2082963025
"Sin3a",15986.5652202525,13947.7556540571,14436.9103485504,19171.8109771695,16699.5593514075,14701.1509859292,15102.4143934451,14154.5227719571,17391.1751289754,16032.2382484503,16086.0954160946,13708.9422326408,15440.7037986811,15542.76263537,12664.0496521684,17519.6127108445
"Tnc",75202.9132205329,77782.0694772331,67786.5993132556,286744.507156915,65359.9504204306,57904.1227582344,70796.9291684665,222620.286259915,79861.3027753644,89123.7844403109,78674.9540293141,258436.736127727,61207.2600636068,69094.9243297411,64493.9664277885,215624.065214392
"Tp53bp1",30773.4463400547,26053.6973229262,25319.9375863423,23320.7225081463,29494.4048348526,28295.5384706785,30687.6815425857,24750.1708894754,27618.6447296072,27903.2463826728,30128.6943624426,28108.0771487155,30417.4253217757,31327.6448162714,29408.3030013107,25432.2545851347
"Alb",3121660.07368516,3150245.55308016,3580710.32870015,1680944.97655658,3010630.48217799,3361370.46644484,3006810.75685098,2598251.21869951,3481779.64300202,3533917.14410284,3858349.49353672,3155173.66464165,3216553.3143988,3673600.78728867,3764936.42844442,2437849.15300761
