Genes,log2FC(S2/P1),q value
AKR1B1,0.237708219,0.001655171
TTR,0.237259371,0.001304228
PPP1R14B,0.237017833,0.009537496
HINT1,0.236416507,0.00042427
GANC,0.236239834,0.0077745
RFK,0.236218286,0.027541988
ACP1,0.235180294,0.019870269
CNDP1,0.234553399,0.029924892
IGLV5-39,0.234449188,0.109493984
LTA4H,0.23422842,0.000655973
AMDHD2,0.234112143,0.000582289
CTSS,0.233613715,0.00299557
CD34,0.232881757,0.021815391
OAT,0.232467645,0.002983728
DPYD,0.232264725,0.002551956
NAGLU,0.232072462,0.00127992
EHBP1,0.232013212,0.001741762
PPA2,0.231893821,0.026230836
ALDH9A1,0.231612025,0.002012121
LGALSL,0.231580275,0.014975993
HPX,0.231547606,0.003572722
SH3BGRL3,0.231424593,0.002616112
GSTZ1,0.231408204,0.013482804
NME1,0.231153355,0.000406328
FCGR3B,0.230751503,0.013399951
NBR1,0.230230287,0.000639624
SELENOM,0.230202829,0.000514028
C9orf64,0.230165551,0.010331718
NENF,0.229716116,0.000729996
REXO2,0.229580542,0.001447043
CD163,0.228371682,0.004744429
PPA1,0.228116621,0.000438915
DGUOK,0.227687971,0.15006016
FAHD2A,0.227029176,0.000355542
DPP3,0.226953785,0.000911993
PFAS,0.226764351,0.000994511
GLB1,0.226718325,0.000484798
PSAT1,0.226692971,0.001256983
PDE4DIP,0.225914076,0.00264158
UBE2G1,0.225830777,0.094912559
PPP3CC,0.225150071,0.014587705
NRCAM,0.224837122,0.008106963
WDR73,0.223880587,0.000999542
ARMT1,0.223723699,0.002705572
GCHFR,0.223619898,0.001045435
GRHPR,0.223010057,0.000689981
IMPA1,0.222354146,0.000730101
IKZF3,0.222009362,0.00172618
L3HYPDH,0.2217147,0.000742116
COTL1,0.221592746,0.000481085
SELENBP1,0.221461413,0.002143807
SERPINA7,0.22117405,0.003774462
IL1A,0.221153432,0.001690624
FABP3,0.220864739,0.001918585
MIEN1,0.220550457,0.035273791
KHK,0.220135277,0.029310914
EXTL2,0.220092544,0.022308471
DCTD,0.219825653,0.005937439
CDH3,0.219269334,0.138935898
PMM2,0.219180379,0.000158677
KYAT1,0.218570372,0.007067288
HGFAC,0.218439918,0.029404784
CFL2,0.217981859,0.003537215
ACO1,0.217714556,0.001228879
CYB5R2,0.217097773,0.001840342
CP,0.217052702,0.009906315
HINT2,0.216789664,0.0011133
DCD,0.216271659,0.142193945
CNTFR,0.216163054,0.035402821
PTGDS,0.21599324,0.006796285
PSME3IP1,0.215876034,0.003253332
AHCY,0.21542206,0.000902968
IGLV4-69,0.215187139,0.193080424
WDR54,0.21514241,0.00191746
CD68,0.214980106,0.028259523
A2M,0.2145898,0.010080399
PDE4DIP,0.214553964,0.01146555
ALDH3A1,0.214475093,0.000411336
GLA,0.214229646,0.000732656
CDH6,0.213794388,0.010331718
PBLD,0.213024055,0.003937341
FHIT,0.212855202,0.002909501
CSTA,0.212708075,0.001825987
PEBP4,0.21240216,0.004179805
SAT2,0.212386505,0.012145763
NUDT9,0.211790782,0.000164
PARK7,0.211061659,0.02229726
SOGA1,0.210931037,0.001727858
MSRB3,0.210575791,0.003207458
CRK,0.210230204,0.000988268
BPNT1,0.209889502,0.000753642
RNASET2,0.20986023,0.000803102
GMFB,0.209857557,0.02967347
COMT,0.209810943,0.000517031
NLN,0.2095033,0.00128338
ALDH1A3,0.208865359,0.065157545
RBP1,0.208123092,0.009639892
IGHV1-24,0.207764793,0.036080502
MYG1,0.207634447,0.00055543
ALDH9A1,0.207531482,0.009779813
DPF1,0.207252073,0.078172137
ECHS1,0.207113893,0.000338745
PUDP,0.206441,0.03494784
BPGM,0.206179394,0.004542606
PHYKPL,0.205696561,0.010814474
QDPR,0.205242403,0.000395314
CALCOCO2,0.205101894,0.010161882
FCGR3A,0.205073912,0.057326956
TDP1,0.204859064,0.145601718
TXNDC12,0.204756995,0.004168451
LDHAL6B,0.204701702,0.01750131
PLEK,0.204645323,0.086693004
ADAL,0.204589021,0.002827313
RNPEP,0.204518326,0.000554811
GLOD4,0.20402293,0.002262331
C1RL,0.203971247,0.035960644
PGAM1,0.20387089,0.00025437
SERGEF,0.20363556,0.002557048
GAA,0.202772324,0.001083767
FDX2,0.20261434,0.027690298
TBCB,0.202545222,0.001228879
ITGAM,0.202528901,0.014149356
HDHD2,0.202243657,0.002132166
MPV17L2,0.201905099,0.141719416
FH,0.201589185,0.000354305
ENO3,0.201576506,0.19823572
AKR7A2,0.201548449,0.000655446
FABP4,0.201097348,0.043259704
CFL1,0.200547293,0.000329939
GSTZ1,0.200110346,0.002034978
TP53I3,0.200003718,0.001330587
CASP6,0.199988633,0.001411591
CLPP,0.199766077,0.008287759
NAMPT,0.199646982,2.76E-05
ACOT7,0.199374387,0.000837031
SH3BGRL2,0.199248747,0.001024361
HIBADH,0.198405058,0.003340368
LYVE1,0.198332709,0.008373801
TPI1,0.19827209,0.001960489
ADPRH,0.198240082,0.000196616
CBR1,0.198109656,0.000484798
DDX55,0.197760628,0.013969664
PGM2,0.197600611,0.000234838
SELENOP,0.197537758,0.059167705
PSMG4,0.197490194,0.036501267
THTPA,0.19737591,0.000706213
NANP,0.197032581,0.001412717
SMPDL3A,0.196976406,0.020568845
IL1F10,0.196930072,0.016298954
PGGT1B,0.196475942,0.000173778
DPP7,0.196229736,0.00534823
SERPINC1,0.195647302,0.005719422
ALDH7A1,0.195514334,0.000936774
ENO1,0.195366601,0.001325882
ORM2,0.195306971,0.025496207
CCS,0.195051774,0.006218338
CSTB,0.194571764,0.000208548
RBBP9,0.194372843,0.000499736
ISYNA1,0.193677132,0.012974186
BCKDHA,0.193415072,0.001330587
CNDP2,0.193306211,0.001327797
MVD,0.19319919,0.000855797
FXN,0.192749625,0.017316289
PIR,0.192599652,0.003783222
VBP1,0.192431245,0.005323577
CTSC,0.192351193,0.002994419
RNF13,0.192160108,0.010792124
PGM2L1,0.192046197,0.001449153
VASN,0.191567537,0.003725392
CFI,0.191533513,0.028992347
PI16,0.19125106,0.002511471
ACTL6A,0.191140544,0.000377583
DDAH2,0.191122745,0.004039034
CASP14,0.19084503,0.000687071
GCLC,0.190762556,0.000733503
BLVRB,0.189968192,0.00042427
NDRG2,0.189902372,0.002525339
ALDH1B1,0.189669328,0.004706864
IGLV7-43,0.189594208,0.01643298
CCDC13,0.189459482,0.072822324
ACTB,0.189231461,0.056958635
TF,0.189225712,0.010888821
BBLN,0.189091427,0.002412658
HDDC2,0.188840182,0.004399896
GFUS,0.188769325,0.000733503
ENO2,0.188589403,0.005858351
PPAT,0.188575289,0.002431815
PPM1B,0.188018802,0.017411494
GBE1,0.18794257,0.001027913
SAE1,0.187660015,0.000709731
ASRGL1,0.187543955,0.00275729
LDHB,0.187451504,0.001837699
LTF,0.187205087,0.006505634
A1BG,0.187166108,0.01502937
WDR1,0.186746135,0.00042236
CMPK1,0.186718843,0.00021891
GMPPB,0.186300367,0.000139407
CARHSP1,0.186052318,0.001230682
TRIM6,0.186034495,0.001118948
MBD5,0.185536945,0.062074694
GSTM3,0.185081256,0.000799572
CMBL,0.184961746,0.011520283
TTC38,0.184921877,0.006085893
S100B,0.184760718,0.000490171
SCRN2,0.18463512,0.002217275
LYPLAL1,0.184557512,0.006182308
CALML5,0.184300672,0.002694097
MDH1,0.184289696,0.000994511
CDH5,0.184179025,0.009251423
ORM1,0.184154154,0.024347844
SGTA,0.183682967,0.007957616
GSTM2,0.183519098,0.000785964
PHYHD1,0.183077253,0.000566739
PBK,0.182690928,0.001903075
CTSF,0.182655299,0.084289944
CRYZ,0.182500414,0.001709959
PMM1,0.182191597,0.109442884
SULT1A1,0.181915574,0.049006072
CRELD2,0.181836719,0.045701591
LGALS1,0.181735036,0.000611453
HNMT,0.181449942,0.004179805
CBR3,0.180875484,0.001096512
SSNA1,0.180547361,0.065075925
MX1,0.180445428,0.032470956
GFRA1,0.180334643,0.017208566
ALDH2,0.180160004,0.001206275
HEXA,0.179835842,0.000482753
HYPK,0.179797955,0.072370676
SMS,0.179750109,0.002574022
GSTO1,0.179376895,0.00109801
ENSA,0.179254194,0.003016485
ALB,0.179212666,0.003402141
CES1,0.179153267,0.00950498
NUDCD2,0.179042682,0.053815708
F13B,0.178931531,0.041164287
IFT27,0.178893699,0.001443457
CNTNAP4,0.178727039,0.023557135
BCHE,0.178726965,0.009674034
PPIA,0.178562336,0.001358473
CKM,0.178294584,0.008643872
HP,0.17823774,0.028253008
SPR,0.178223519,0.00180707
PKLR,0.17822152,0.060470575
AACS,0.17820396,0.002250063
SULT1E1,0.178122358,0.119603969
DSTN,0.177687809,0.000647448
TALDO1,0.177321962,0.000391915
LAMB4,0.177277895,0.02993631
CKB,0.176331592,0.006447813
HIF1AN,0.175828326,0.005880644
ATIC,0.175778762,0.001121698
PEA15,0.175440035,0.005659627
GPD1L,0.175426864,0.00105966
GSN,0.175249569,0.001665726
ACP1,0.175216822,0.004706864
ASL,0.175216724,0.001175387
FKBP7,0.174984951,0.014364851
AKR1C2,0.17485807,0.002468472
IDH1,0.174327176,0.001774636
IGFBP6,0.174113716,0.010956913
NQO1,0.174105667,0.041545592
GGCT,0.173845171,0.008500008
ALB,0.173843402,0.002459128
LAP3,0.173641886,0.001231734
ISCA2,0.173345096,0.032522651
VCAM1,0.173084357,0.004907147
MOCS2,0.172964884,0.052512338
PRDX6,0.172723553,0.000946423
GAMT,0.172457523,0.004168451
PAFAH1B2,0.172362815,0.000636019
PCNX2,0.172228435,0.008900293
IGHV3-38,0.172032082,0.032806407
DFFA,0.17128784,0.000788567
ARHGDIB,0.171065034,0.000203302
CNPY2,0.171002959,0.043229644
PGD,0.170960259,0.000977556
MTR,0.170827303,0.034322814
DNPH1,0.170538167,0.000704376
NUTF2,0.170375735,0.001289717
AGT,0.170053815,0.042491825
POMP,0.169474598,0.000238837
METTL26,0.169163885,0.005179188
AHSP,0.169023073,0.225278036
SCLY,0.168862863,0.00298147
PDLIM3,0.168757145,0.003023405
FDPS,0.168741512,0.000730101
HPRT1,0.168715634,0.000476515
PPM1A,0.168639327,0.001812971
MIX23,0.168461338,0.000540791
RENBP,0.168381438,0.00669378
FUCA1,0.16796343,0.045564262
CLIC2,0.167732128,0.000449399
IGLV2-18,0.167570939,0.158945038
MSRA,0.167363557,0.029454628
PTAR1,0.167311931,0.069066724
ALAD,0.166982463,0.00171383
SUCLG2,0.166399516,0.00077907
FCN3,0.166273636,0.032106789
GPD1,0.165872092,0.068547935
RANGRF,0.165200748,0.010944474
GOT1,0.164849671,0.003083278
PPIL1,0.164789069,0.193658629
CA1,0.164711277,0.024078775
BCAT2,0.16423582,0.009464099
PSME2,0.164075789,0.000359146
GALNS,0.163620308,0.077358963
GSS,0.163472877,0.006182308
SERPINB1,0.162906287,0.000172287
SERPINA1,0.16280507,0.004398798
BBOX1,0.162789433,0.001274173
CPN2,0.162439204,0.038072522
CA13,0.162391205,0.000606782
GPI,0.162058988,0.000219031
IGHV3-64D,0.161920863,0.040411277
IVD,0.161664993,0.021977932
INTS1,0.161612132,0.433211692
CCSER1,0.161506251,0.228795078
GNPDA2,0.160563178,0.003745218
CCER2,0.160477851,0.178164084
NT5DC1,0.160172021,0.010464899
PPP4C,0.160130721,0.003952119
MB,0.160109434,0.03570519
EOGT,0.159978215,0.020435525
D2HGDH,0.159862383,0.039894061
SPRYD4,0.159708836,0.002148105
POFUT2,0.15951009,0.016760348
PTPRM,0.159388205,0.044578959
MAT2B,0.159273884,0.000542631
KNG1,0.158878656,0.043259704
CTNNBIP1,0.158858887,0.013979086
FETUB,0.158240592,0.009399021
PAPSS1,0.15822231,0.009432739
RNF44,0.158168859,0.315213022
GALE,0.157082846,0.048733928
APIP,0.15693112,0.030851057
PSMG3,0.156883301,0.000689981
IGLV3-25;IGLV3-27,0.156882554,0.022884151
GRPEL1,0.156850035,0.028364771
UBA2,0.156521508,0.001043446
IGLV3-21,0.156190458,0.03950937
CMPK2,0.15569134,0.010336095
ACADS,0.155360044,0.005455759
NPEPPS,0.155298428,0.005069817
PGM3,0.155144068,0.000766087
ECH1,0.154833578,0.014938129
SPPL2A,0.154705198,0.038408193
NAT1,0.154621997,0.000441507
UCHL3,0.154458709,0.004830964
FAHD1,0.154397228,0.007003065
LGALS7B,0.154283824,0.000889706
RAN,0.153872657,0.000125248
ABCC1,0.153500315,0.002422289
HSPA4,0.153377638,0.001118948
SERPINF2,0.153359026,0.017969204
RPE,0.15334208,0.006934409
CRTAC1,0.153312498,0.077358963
KAT8,0.152924523,0.113836062
HDHD3,0.152639805,0.016858103
CA3,0.152443088,0.071638064
PCYT2,0.152377469,0.00225692
PEBP1,0.152215871,0.000906886
GSTT2B,0.152065453,0.005419882
ENPP3,0.151666876,0.026281946
GYG1,0.151663082,0.000208548
PFN2,0.151467262,0.005426076
DHFR,0.151230318,0.241322136
RIDA,0.151229404,0.149295308
OPLAH,0.150897528,0.003811562
LCAT,0.150809067,0.155421141
BST1,0.150782408,0.00972618
FNTA,0.150450668,0.003171275
HPGDS,0.15041711,0.012149104
PRTFDC1,0.150180163,0.01408821
SERPINB8,0.149952884,0.003506532
SELENOF,0.149689729,0.088455461
APOC3,0.149616936,0.133894422
GGACT,0.149405952,0.094276672
RHEB,0.149058648,0.004172683
IGHA1,0.149038193,0.007665114
NT5C3B,0.148992614,0.027147494
C6orf201,0.148733062,0.314363227
RAB43,0.148678459,0.034935637
SHBG,0.147651201,0.106110501
CA2,0.147621466,0.01087079
HDGF,0.147610335,0.002508969
FSCN1,0.147448172,0.000441507
PGK1,0.147381457,0.000827294
PRDX3,0.146899156,0.001816789
IGLV8-61,0.146839336,0.079112485
NMRK1,0.146829026,0.010188946
IGHA2,0.146423526,0.158945038
CLIC4,0.145875149,0.000914827
CLTA,0.145562374,0.00164817
CALML3,0.144903836,0.035897966
AASS,0.14489786,0.028247475
SCRN1,0.144494532,0.01738463
SUMO2,0.14425221,0.025083581
PAFAH1B3,0.144168708,0.003171543
PPIH,0.144089584,0.00076267
MOCS2,0.143707791,0.029387744
SUCLG1,0.143652066,0.002098192
B2M,0.143327352,0.003421354
PCK2,0.143037854,0.001296696
CRYZL1,0.142774378,0.005067869
LOC102723971,0.142577668,0.037744988
MSRB2,0.142514576,0.053441974
GRB2,0.142268458,0.00224646
NIF3L1,0.14215811,0.001311426
PFN1,0.141981668,0.000148815
UAP1,0.141868869,0.000902683
UBTD2,0.141682824,0.25606513
TXNRD1,0.141599601,0.00133699
IDH2,0.141064283,0.006994448
UROD,0.140900366,0.000710303
WDSUB1,0.140346143,0.000332708
ERP44,0.140168022,0.028295233
ERAP1,0.139644887,0.008544601
PYGM,0.13947605,0.021844084
ADSL,0.139291816,0.006938534
TYMP,0.139282368,0.000170091
TPMT,0.13915562,0.000245965
PEPD,0.13865182,0.018489139
MAN2B1,0.138139546,0.007015768
GALK2,0.13789778,0.111329038
PNPLA8,0.137601718,0.032446447
ABHD14B,0.137388778,0.001012514
IGHV1-69,0.137172151,0.103289704
SOD2,0.137095943,0.009149649
VPS29,0.137039067,0.000434699
NUDT11,0.13692934,0.047287267
ADAMTS13,0.136570272,0.176350587
ACAT2,0.136317081,0.047906564
CLIC1,0.136261695,0.000189264
ADPRS,0.135937799,0.00238522
ALDH4A1,0.135815089,0.001681968
CPB2,0.135008848,0.167821294
GMPR2,0.134919621,0.001273669
ARHGDIA,0.134487282,0.000184067
PYGB,0.134016576,0.000885956
LSAMP,0.133988181,0.029568836
SLITRK1,0.133454802,0.001796129
PRDX5,0.132963489,0.003588436
CAMP,0.132923486,0.086616284
PHYHIP,0.132894714,0.000388252
CTSA,0.132586358,0.015075551
MDP1,0.132531838,0.001338325
C2,0.132307735,0.045292336
IDS,0.132278986,0.006924997
DGLUCY,0.132204146,0.000344938
FKBP1A,0.132132752,0.000622021
PVR,0.131834427,0.000587621
ACTB;ACTG1,0.131796413,0.000239234
LCN2,0.131727615,0.174695199
SREBF1,0.131639113,0.144790608
ACSS1,0.131572961,0.034527614
CRP,0.131489227,0.280350859
SENP8,0.131422062,0.190500887
TPP1,0.131072132,0.131902955
OTUB2,0.130462769,0.079560234
PCNA,0.130419917,0.004291063
PPT2,0.130376536,0.032088233
NAE1,0.130168581,0.001823725
QTRT2,0.130168166,0.033056796
TXN,0.130148445,0.000581485
CHMP4B,0.130071012,0.054709165
CALM1;CALM2;CALM3,0.12992494,0.005775843
RNPEPL1,0.129430367,0.041457834
KIT,0.12878453,0.082944706
IDE,0.128586153,0.003592393
PKM,0.128466664,0.004343025
SERPINB6,0.127360085,0.000709681
PYCR3,0.127231392,0.000419956
PLBD2,0.127184932,0.003917296
SULT1A3;SULT1A4,0.126973625,0.014924367
MARCKS,0.126779688,0.098827085
HSPH1,0.126389673,0.002267684
IVL,0.126309761,0.005981749
ACO2,0.126226152,0.002867552
NTAN1,0.125245445,0.01845942
HSPA6,0.124837253,0.104307522
CST6,0.124830022,0.014885749
PEX7,0.124741808,0.007243651
UGDH,0.124340582,0.002412658
OXLD1,0.124336814,0.209701313
PTPRG,0.124249012,0.056020979
CRKL,0.12421955,0.000270614
CALU,0.124023243,0.066317457
IGHV4-38-2,0.123804919,0.2093094
DDT,0.12359178,0.001005184
CASP3,0.123372043,0.06630834
TET1,0.123262538,0.220445967
UAP1L1,0.123197605,0.001859976
XPNPEP1,0.123071925,0.001857531
RCCD1,0.122734802,0.119877509
CHMP4A,0.122275942,0.022514628
DCPS,0.121839342,0.057936949
NR2C2AP,0.121743598,0.064157337
PPP1R14C,0.121733719,0.007067288
PFDN2,0.121306055,0.006923362
PFDN4,0.121149921,0.030652684
NTMT1,0.121022278,0.006933362
MAN2B2,0.121008363,0.009204574
PNP,0.120971635,0.004059427
LXN,0.120851902,0.002209198
C8G,0.1207174,0.138964056
EPHX2,0.12017982,0.006046252
TST,0.120095929,0.000481085
PRPSAP1,0.120001411,0.000423181
IGLC3,0.119943506,0.064594231
APRT,0.11967402,0.000911651
DOHH,0.119597113,0.169981022
NAT9,0.119198917,0.106375265
DCAF7,0.119046916,0.003504555
NEU1,0.118735537,0.018253991
HSPE1,0.118657081,0.000812767
PDE6D,0.118600641,0.004689197
C1R,0.118434743,0.052164775
PROCR,0.118423853,0.032893349
PGLS,0.118394906,0.001549906
RAD1,0.118326154,0.01861007
NT5E,0.118163375,0.00286384
PIN1,0.118023458,0.095233404
HPR,0.117994972,0.058182086
SRM,0.11778598,0.000456342
CFB,0.11752281,0.094270437
CASP8,0.11729287,0.095043008
TRMT5,0.11726847,0.048715616
EML2,0.117138514,0.004117214
PCMT1,0.116961229,0.00067581
ARFGAP3,0.116874541,0.219283149
MST1,0.11679995,0.34072762
PSPH,0.116748328,0.001909066
RCN1,0.116718379,0.027600556
KNG1,0.116686279,0.094639115
NAXD,0.116599944,0.001404262
NUDT2,0.116474433,0.005136595
PKM,0.116326269,0.003104389
NEGR1,0.116227151,0.032960329
INPP1,0.116188062,0.001321618
PRPS1,0.115596287,0.009366004
IGHG4,0.115450498,0.248401049
PPA2,0.115188434,0.002101314
HOPX,0.114966794,0.021339963
PYCARD,0.114246547,0.022109089
NME2,0.114239238,0.002570975
ME1,0.114224597,0.003177376
TXNL1,0.114190393,0.000154008
CBFB,0.114143584,0.008114937
NUDT12,0.113988572,0.062074694
C1S,0.113986109,0.041649319
LZIC,0.113787636,0.029238644
ACOT1,0.113763463,0.036938601
CACNA2D2,0.113413624,0.182230493
CIAO1,0.113393027,0.006673139
GUK1,0.113189927,0.007078164
ADH1B,0.112166236,0.010915405
KLK8,0.11195857,0.011521884
DHRS11,0.111944962,0.038536087
NUCB1,0.111861644,0.001800457
ITIH4,0.111635322,0.055572232
ENPP4,0.111585095,0.066379497
AKR7A3,0.111517242,0.000854954
IGKV4-1,0.111466966,0.09551497
ARIH2,0.111148657,0.211651992
BLVRA,0.110933206,0.00154905
FABP5,0.110709357,0.0009425
ADSS1,0.110485416,0.05798656
RCN3,0.110329882,0.039982893
SCIN,0.110133764,0.024121846
PDCD5,0.109714435,0.013813854
ACSF2,0.108444459,0.040176312
GSN,0.108392082,0.00455331
PALM,0.108337803,0.013270492
STARD10,0.10796205,0.002240323
PLVAP,0.107621672,0.307965086
PPP2CA;PPP2CB,0.107498087,0.000905773
NMI,0.107278743,0.010289366
F9,0.107240858,0.005242115
GPX1,0.107210849,0.003084877
HMBS,0.106999377,0.035183625
GFPT1,0.106501575,0.029870406
IGKJ4,0.106423807,0.040528574
SPARC,0.106306411,0.109528002
SUMF2,0.106208352,0.01185343
THY1,0.106023349,0.036185181
RAD23A,0.105816162,0.011695466
SLC9A3R1,0.105809655,0.002826694
NFU1,0.105749805,0.010348978
ETHE1,0.105610574,0.001661443
PRKG1,0.105532739,0.174132569
RTCA,0.105441182,0.112764693
LGALS3BP,0.104896929,0.009708042
GID4,0.104624711,0.077475773
NUDT4;NUDT4B,0.10462386,0.151134059
IGHG2,0.104610046,0.072876776
PFDN1,0.104505657,0.035897966
POGLUT3,0.104303164,0.011474309
NUCB2,0.104111984,0.008500008
HCLS1,0.10395142,0.001800457
TIPRL,0.103933045,0.012757448
ISLR,0.103895747,0.065924559
PSMD9,0.103878449,0.019274249
SLC38A10,0.103731338,0.155239382
GPX3,0.10346223,0.10154563
HYI,0.103208111,0.026578024
MINPP1,0.103200636,0.067870019
LCMT1,0.102996583,0.002982629
APOA4,0.102980718,0.066429322
ESRRB,0.102664042,0.559482868
