Genes,log2FC(S2/P1),q value
GLO1,3.2485123,0.000526978
NDRG1,1.253955331,0.000528122
RPS17,-2.477481856,0.000529668
STIM1,-1.776048225,0.000529668
ESYT2,-2.293446069,0.000529668
ME3,2.024999061,0.000529668
ICA,3.656758438,0.000529668
UQCRFS1,-1.675047416,0.00053033
PRPS2,3.078498827,0.00053033
FAM120A,-0.667637937,0.000530962
NDUFS7,-2.68649321,0.000533027
NUP98,-1.197112695,0.000533773
CBR3,2.148027024,0.000533773
REXO2,1.910940514,0.000534206
ARHGEF7,0.766008521,0.000535004
THTPA,2.422793253,0.000540373
AIFM1,-1.570322921,0.000540373
SF1,-1.331594012,0.000541824
PSMD12,1.37253616,0.000543448
COPS6,1.672092912,0.00054592
MCM6,0.737481799,0.000546709
COX5A,-1.882390506,0.000554904
RSL1D1,-3.467605901,0.000556298
DDOST,-2.640038198,0.000557012
NOB1,-4.034709637,0.000557012
SERPINB2,1.8770683,0.000557109
IVD,1.009148641,0.000557591
TRIM16,1.450918385,0.00055835
HDAC6,-1.657593385,0.000558463
TCERG1,-1.807903409,0.000560092
PPIL3,1.971511623,0.000561036
PCMT1,1.155612374,0.000562581
NEB,-3.307131399,0.000563586
CRYZ,1.368312802,0.000563758
UBE3C,1.366616644,0.000564106
SNRPD1,-2.054167653,0.000564555
CYP2D22,-3.579983715,0.000564555
RPL11,-2.681559992,0.000564603
COPS7A,1.488177732,0.000567335
ATXN3,1.509423255,0.000568418
LSM4,-3.461483472,0.000568626
GSTM6,3.021367908,0.000568654
EIF3E,-1.933921695,0.000569173
ADO,1.8428509,0.000569173
PDE5A,5.596964119,0.000569173
ETFDH,-2.234917436,0.000569173
RPS9,-2.861665504,0.000570323
OGFR,2.108184433,0.000570323
UBFD1,2.186491405,0.000570396
HSD17B12,-1.195749656,0.000572651
CRK,2.040736343,0.000577349
NUP107,-2.456472765,0.000577349
SELENOH,-6.559937179,0.000577455
AKAP2,-1.014482603,0.000577719
H2AC20;HIST2H2AA2,-6.18962587,0.000577719
SGTA,1.712146558,0.000577719
EMC3,-2.834622704,0.000577719
GAK,-3.984871969,0.000577719
SF3B1,-1.792585756,0.000577719
HERC4,1.838037071,0.000577884
AFM,5.280200244,0.000580847
HNRNPH2,-1.460559275,0.000580847
CALU,1.406154491,0.000583082
N6AMT1,3.58953368,0.000583588
MYH10,-1.088308879,0.000583765
ISOC2A,2.137610189,0.000585711
U2AF1,-4.789148165,0.000586644
ARHGEF12,-1.560695704,0.000587396
AHSA1,1.444271563,0.000587818
MAPK8,1.337576255,0.000587818
GART,1.224089173,0.000588711
MRPL45,-2.951239615,0.000588711
BCAS3,-2.371939324,0.000590237
GANAB,1.693664497,0.000590559
SMARCD2,-3.913624509,0.000590559
FABP3,4.207519264,0.000590981
SCP2,-1.596805576,0.000590981
FBLN2,-3.28317502,0.000590981
FADD,2.056467534,0.000590981
DDX3Y,-1.339374868,0.000590981
CAMKK1,2.835687792,0.000590981
PYCR2,-2.278139364,0.000590981
CLASP1,-1.889746197,0.000591257
TGM2,-1.666587709,0.000591469
STOM,-2.450025803,0.000591469
MSI2,-1.33682949,0.000591469
DDX5,-1.619551871,0.000591615
NIBAN2,1.676566097,0.000595197
PRKACA,1.523365234,0.000597713
PRPF31,-1.981489295,0.000599569
UQCRQ,-2.482343419,0.000599957
CNPY2,1.837855504,0.000599957
TIMM17B,-2.082189865,0.000599957
XRCC5,-0.831570511,0.000601361
TTC1,1.290613011,0.000601361
PPL,-1.162023874,0.000601361
ABAT,3.047494556,0.000602434
DSP,-3.079031205,0.00060331
SEPTIN2,-1.300920746,0.00060331
S100A1,3.445065134,0.00060331
SERBP1,-1.943775542,0.000604487
DNPH1,4.090102639,0.00060607
TAGLN2,1.380411196,0.00060607
SSRP1,-6.360897371,0.000607022
DDB1,1.739024883,0.000607022
SYNM,-2.100465224,0.000607022
SACM1L,-1.3825033,0.000607022
TTLL12,1.611875743,0.000607705
CALML3,3.307655562,0.000607705
OTUD6B,-1.431401101,0.000609783
PNKP,-1.677732061,0.000610734
RABEPK,4.256044487,0.000612123
ZFYVE21,-2.356430386,0.000613735
SULT2B1,2.05796286,0.000615305
CCT2,0.896668509,0.000615789
FAF2,-3.131563688,0.000615789
DDX21,-3.830591224,0.000615789
MTR,2.444598422,0.000619268
PDXP,3.159023014,0.00062347
EXOC5,-4.030042703,0.00062374
GSTM5,3.755124913,0.000626045
ADIPOQ,2.477751552,0.000626045
CLIC1,1.723793786,0.000626045
THBS3,-1.794228143,0.000631291
ATOX1,2.135659863,0.000632028
SOD1,2.5523145,0.000632028
C1QB,-3.981324162,0.000632028
RPS27,-1.890426848,0.000632028
P4HA1,-0.637339606,0.000634892
UBA6,2.052239768,0.000641231
GMFG,1.934383441,0.000641231
SEPTIN5,-1.829259445,0.000643462
DPH6,1.609728909,0.000643674
LAMB2,-2.265132732,0.000644303
CRYBG1,-0.983195016,0.000645087
TLN2,-1.176916172,0.000645087
G3BP1,-2.539181737,0.000645835
RPS18,-2.256897591,0.000650474
SKP1,2.839821014,0.000655953
PGGHG,1.54298979,0.00065605
DDX6,-1.962883075,0.000656729
HEATR5A,5.073785194,0.000656729
RARS1,0.899162397,0.000656729
NDUFA9,-1.165526214,0.000656729
SCAF11,-3.373828189,0.000662209
PARP1,-4.561964859,0.000662209
SCOC,4.500320736,0.000662209
DSTN,2.947728905,0.000662209
AAK1,-1.59536794,0.000663211
PDLIM1,0.685446768,0.000664934
MFAP4,1.375816149,0.000664934
MCCC1,-1.952977887,0.000669125
RFK,1.948839211,0.000670125
VPS35L,-1.867932918,0.000670649
DBI,1.774001509,0.00067318
RPL7A,-2.168039003,0.000676576
NOP10,-2.785280812,0.000676576
PTPA,1.008757333,0.000677195
EIF5A,-2.381199767,0.000677336
RPL12,-3.075707714,0.000678054
DNMT1,-3.321479287,0.000678904
EPB41,-2.040295916,0.000678904
PPP1R11,3.391110907,0.000678904
CSPG4,-1.163281758,0.000678904
KLHL40,-2.520858023,0.000678904
NDUFA10,-1.748176172,0.000679194
TMTC3,-2.468444816,0.00068159
OSGEP,0.961652843,0.00068159
ABRAXAS2,-0.783638821,0.000683621
VAC14,-0.950857351,0.000683621
ALDH2,2.07893483,0.000685863
NACA,-2.40123726,0.000685863
SDF2,-1.557021677,0.000685863
HSPA4L,1.60318839,0.000688246
HSPBAP1,1.968021895,0.00069188
FARSA,-1.897943396,0.00069188
ABI1,-1.394864164,0.00069188
SORBS3,-3.636947339,0.000693085
SERPINF2,1.983966504,0.000694816
HSPA8,0.962675121,0.00070244
PZP,3.135720265,0.00070244
PGRMC2,-2.3994082,0.00070244
POF1B,-3.465259627,0.00070244
MYL9,1.697291958,0.000705272
UFM1,2.762718235,0.000705766
UQCRB,-1.592030923,0.000706236
SSB,-1.940908284,0.000706277
LUC7L2,-1.308221108,0.000708071
L3HYPDH,2.301477849,0.000708071
TMED9,-1.222023029,0.000713639
PACSIN3,-1.843027247,0.000716473
SCEL,-4.018940149,0.000716473
NDUFA6,-2.371048802,0.000721613
COQ3,-1.541875891,0.000726953
DNAJC19,-2.186678017,0.000726953
HMBS,1.679422449,0.000733171
YWHAQ,2.04452068,0.000733171
CPSF2,-2.205702002,0.000733322
KRT33A,-5.3290965,0.000733322
CLNS1A,1.674322551,0.000736212
CIAPIN1,2.196055657,0.000737631
BLTP1,3.039645424,0.000738118
CARHSP1,3.380902693,0.000742402
RNPEP,1.742307163,0.000748763
HOMER3,-3.222595604,0.000748763
WDR1,1.945587867,0.000757561
COMT,2.18114572,0.000757561
COX7C,-2.536894278,0.000757561
DBT,-0.879122066,0.000757561
RPL18A,-3.548149088,0.000757561
RPL23A,-2.745231767,0.000757561
PSMB4,-1.455789858,0.000757561
RBM39,-1.41154983,0.000757561
TMEM43,-0.954434563,0.000757561
GNPDA2,1.892712353,0.000757817
UBAP2L,-1.106390948,0.000758546
CAVIN1,-1.284869734,0.000764933
CASP8,0.737703482,0.000764933
POFUT1,1.980554991,0.000764933
PCOLCE,-2.400297342,0.000767645
SMTNL2,-2.332963941,0.000767645
CTU1,3.487060995,0.000767645
GMPR2,2.493713103,0.000768723
LDB3,-3.786907941,0.000770064
THNSL2,2.026741587,0.000772625
SP3,-5.147166059,0.000772826
PTK2B,-1.01605154,0.000778878
SARNP,-2.452493224,0.000779953
ATXN7L3B,1.67995556,0.000781414
NUCB2,1.15287841,0.000781419
ALPK3,-2.57525021,0.000785277
RPL3,-3.062210933,0.000785867
ILK,-1.973321121,0.000791198
NUDT12,1.137369615,0.000791198
NT5M,2.886347774,0.000791675
SERPINA7,2.893902449,0.0007924
FUNDC2,-2.095191377,0.0007924
SUMO1,-1.532282477,0.000796977
CTBP1,1.652046257,0.000800931
MRRF,-2.468156018,0.000801375
IL36A,7.547485939,0.000801375
H1-3,-6.577808653,0.000801667
TIMP2,-2.775590107,0.000803804
SCD1,-4.341637192,0.000808169
HIGD1A,-2.117607005,0.000809215
ACP7,-3.461777828,0.00080975
BCLAF1,-3.751885007,0.000819794
ETF1,1.085077958,0.000827738
DNTTIP2,-1.238514107,0.000827738
PFKM,1.333747541,0.000828384
OLFML3,-2.130462787,0.000829548
SSH3,1.057050855,0.000829548
PSMD6,1.252535433,0.000829548
RANBP2,-1.707004012,0.000832015
BZW2,-3.120981461,0.000832329
OGA,1.22793212,0.000832589
NID1,-1.997150436,0.000832646
MYBPC1,-2.891072091,0.000833464
MRC1,1.223653229,0.000834649
TCOF1,-4.566135382,0.000835475
SNRNP40,-3.596320625,0.000838951
MDP1,1.58552878,0.000840072
G3BP2,-2.821581424,0.000840842
GHITM,-4.030879868,0.000840842
Q9D7E4,3.148385638,0.000840842
ZYG11B,4.105050314,0.000841701
PPIL1,1.292527337,0.000844682
UBE2O,0.941779933,0.000846343
PRKAB2,1.500758103,0.000847361
PRPF8,-3.01398764,0.000856655
ECI2,-1.627653649,0.000856655
SPARCL1,1.363064907,0.000864771
NUP35,-3.036537074,0.000864771
VAPB,-1.576824342,0.000864771
WDR54,2.982698412,0.000864771
IL18,1.165484476,0.000865366
ALDH5A1,1.31798444,0.000865701
RENBP,4.669662995,0.000865736
HNRNPC,-2.294088222,0.000866396
TMPO,-2.215037033,0.000870727
TPR,-1.79091978,0.00087653
RPS3,-1.802223925,0.00087653
GGA1,1.047444343,0.000876594
ANKRD2,1.850291603,0.000878518
CYC1,-2.486771067,0.000881226
EEF2,1.181991739,0.000884928
SND1,-2.103006136,0.000884928
CAVIN4,-2.260854308,0.000893052
HIBCH,1.484172003,0.000893832
INA,-4.356350579,0.000901023
TFRC,-1.213568197,0.000901023
TEX264,-1.987142902,0.00090871
IPO4,1.217796451,0.00090871
AP3B1,-0.745789198,0.00090871
PMPCA,0.680101524,0.000909917
IAH1,2.609020891,0.000911827
DCTN1,-0.519976158,0.000919246
NPTN,1.107953724,0.000919246
NT5C2,1.634466705,0.000924378
NDUFA4,-3.324084742,0.000924378
IMPA1,1.786825794,0.000927329
SYNJ2BP,-1.985045063,0.000928185
KRT14,-4.129009987,0.000935
DNAJC9,-1.660508213,0.000935356
LRRFIP1,0.983203866,0.000935857
HNRNPLL,-2.74248186,0.000936175
RTCB,-1.014237446,0.000941216
PDK2,1.633943042,0.000941324
PURB,-2.130523146,0.000943838
ALDH3A2,-1.956608762,0.000943838
TBCA,2.071325338,0.000943838
PYCR1,-1.611732163,0.000944533
MECP2,-4.926086717,0.000944533
PFKP,1.798932209,0.000956989
IGTP,-2.098436688,0.000958379
ZFAND6,3.505833644,0.000958379
AKR1B8,2.19997085,0.000966842
CCZ1,-1.152507626,0.000966842
CNDP2,2.69559147,0.000966842
SLC4A1,-3.124573248,0.000976475
SERPINB6,2.54626113,0.000978249
VDAC3,-1.655284637,0.000979263
LIN7C,-0.752327425,0.00098099
LXN,2.787202288,0.000986913
SNX4,-1.037682897,0.00098725
RAB11FIP5,-1.231646501,0.000989228
RPS26,-3.440368874,0.000992471
NFATC1,-2.201262497,0.000993102
ARPC4,-2.1857842,0.000993102
LAP3,1.850178876,0.000993102
NDUFA8,-2.016533227,0.000993102
CSTB,3.39812904,0.000995926
NDUFS3,-1.210327547,0.000995926
GMFB,1.069263932,0.001000724
PCDH1,2.027642488,0.001005968
CAMSAP3,-1.829380797,0.001009953
MRPL40,-2.421856139,0.001013472
RPS16,-2.688184839,0.001013687
ADCK1,-2.81876273,0.001016413
VPS35,1.198933337,0.001016413
RPL26,-3.146486122,0.001019285
NUDCD2,1.536495321,0.001024879
LACTB2,2.173578647,0.001025841
PDAP1,-1.790859484,0.001025984
SMU1,-2.146510344,0.001031147
F12,2.547670895,0.001031147
DTNA,-2.773329628,0.001031147
PIN1,1.313038592,0.001036761
ECH1,-1.36142981,0.001036813
GSTT1,1.430030968,0.001036813
MYOT,-5.233394043,0.001036813
SMPD3,-1.310546221,0.001036813
CFD,2.879689236,0.001037354
EFL1,-1.275242244,0.001041544
AMDHD2,2.238510552,0.001041757
VAMP2,-1.25485707,0.001043193
RPS25,-4.256334508,0.001048572
LRPPRC,-0.896204758,0.001049452
MAP2K2,1.967473779,0.001050477
PANK4,1.392051833,0.001050477
FLAD1,2.334376206,0.001050477
APIP,2.282490591,0.001053511
DSG1B,-2.952347614,0.001054931
PGM5,0.881860473,0.001054931
OBP1B,2.706219519,0.001055231
TSR2,0.604690881,0.001055231
SFXN1,-1.63427332,0.001061083
DCN,-2.631730225,0.001061148
HEXA,-1.930557922,0.001061148
TNPO1,1.047590097,0.001061148
SCYL1,-2.066006101,0.001062798
CNBP,2.389452894,0.001070933
FLNB,-0.767978365,0.001070933
KIF5B,0.567169872,0.001073183
GSTM7,2.392823842,0.001074869
ALDH9A1,1.704803198,0.001076198
RANBP3,1.129648461,0.001077013
CDC37,0.891068775,0.001078213
ATP5MG,-2.55588603,0.001079638
SERPINB3A,1.933663424,0.001084659
CIRBP,-2.139017284,0.001084659
MPST,1.374726406,0.001084659
TXN,1.519791042,0.001091825
TARS2,-5.244268792,0.001091825
CORO7,1.257650384,0.001094928
SNTA1,-1.18826363,0.001096053
SIRT5,0.97331556,0.001096053
ADA,1.972845167,0.001100109
PRRC2C,-1.304068611,0.001100109
TKFC,1.888487507,0.001100109
GAB1,1.509080283,0.001100109
CSRP1,1.581286751,0.001100773
SMAP1,-1.441379299,0.001100773
NAT2,3.163240709,0.001102692
NT5DC1,1.62755916,0.001102692
CAV2,-1.669806114,0.001104176
CNN3,-1.200386973,0.001105846
FKBP11,-2.687134655,0.001113566
HM13,-1.022900875,0.001117679
AIP,0.667437023,0.001121896
SRSF2,-3.813681462,0.001121896
MAPK9,1.52546925,0.001121896
NUDCD1,1.288384731,0.001122694
DDX18,-3.823697395,0.001124877
GATAD2B,-1.542021887,0.001126978
ARL2,1.161781938,0.001126978
SMYD1,1.280144457,0.001128473
PRPSAP2,1.178458398,0.001137551
NAPG,-1.469463383,0.001152084
CLPX,-1.493719704,0.001152084
OBP1A,4.161859004,0.001152216
CISD3,-3.834912017,0.001153994
PDZK1IP1,-2.743623077,0.001156255
PSMB6,-1.334742586,0.001164303
EMC2,-1.719807742,0.001164303
RSF1,-4.744312766,0.001169805
TRA2B,-1.687217195,0.001169886
SSR4,-2.802461892,0.001182009
MAPT,-1.138138246,0.001184227
GSPT2,2.465181745,0.001184227
PRX,-2.347253684,0.001185272
MASP1,2.697925656,0.001185432
PSAT1,2.796645237,0.001185508
TOR1AIP2,-1.406622066,0.001191046
INTS14,-3.861277189,0.001194775
HTATSF1,-2.439742873,0.001197955
COX17,1.367098699,0.001202486
NECAP2,-1.146649808,0.001204221
ZCCHC8,-4.595956091,0.001204445
PFKFB1,1.430006992,0.001220154
MYOM1,-3.392737274,0.001227389
PPM1B,1.307995201,0.001228999
GATD3,1.085395104,0.001228999
ARMH1,-4.556405418,0.001229754
TUFT1,-3.09985372,0.001230897
DLAT,0.999820129,0.001231604
SFPQ,-1.378722623,0.001231604
NHERF2,-1.405047382,0.001231604
RPL15,-2.396642968,0.001234957
GABPA,-2.84627375,0.001236403
VARS1,0.802584887,0.001237057
PGRMC1,-2.046095339,0.001239672
PSMA6,-1.291753189,0.001239672
VDAC2,-2.67935792,0.00125464
BPNT1,2.152806096,0.00125464
PPIB,-1.104434141,0.001256045
ARHGDIB,1.707576185,0.001256045
HSPA1A,3.519661198,0.001256045
TXNDC12,2.646952164,0.001256045
MSRA,1.774779926,0.001256045
RCC2,-3.057212495,0.001257165
FARSB,-2.601400737,0.001257165
ASPRV1,1.939489651,0.001259477
FGA,-1.34318106,0.001260399
RHEB,0.927916614,0.001269787
ACTR10,-0.578433146,0.001269787
TRMT61A,1.353924725,0.001272309
RCN3,2.004487543,0.001275739
CNOT6L,4.219178367,0.001275739
BBOX1,1.812038337,0.001275739
ACOT2,1.295231313,0.001275739
RPL21,-3.436452654,0.001283265
SFN,1.754539108,0.001283265
GOLPH3,-1.431292253,0.001284831
NIPSNAP2,-0.974852672,0.001286304
DCUN1D2,1.605103862,0.001286304
SNU13,-4.613751682,0.001286304
GSTT3,1.489678488,0.001296213
TAX1BP1,0.924204923,0.001298919
EPPK1,-2.713114187,0.001298919
EXOSC5,-1.700775531,0.001300943
MYO1C,-1.004124471,0.001300943
FAF1,0.762127071,0.001305835
CYCS,-1.015207534,0.001305835
TGFBR3,2.628939624,0.001307678
HIKESHI,0.865300733,0.001307983
RPL28,-3.077890503,0.001311342
PLIN4,-1.367938687,0.001311463
CASK,1.66385727,0.001312039
SRRM2,-2.61275591,0.001314818
ANPEP,1.357028347,0.001318914
ACOT7,1.94156634,0.001323231
ACYP1,1.91766507,0.001330669
RPTN,-2.985127193,0.001336868
GNAO1,-0.753407594,0.001341436
INPP5B,4.123496088,0.001342717
DNAJB1,-0.859318315,0.001348451
LTF,-3.167494935,0.00136231
TJP1,-0.931908471,0.001375492
HNRNPL,-1.552191934,0.001380942
PSPC1,-2.347586448,0.001382139
THBS1,-1.988836019,0.001388573
LGALS7,1.375762028,0.001389777
CDK9,-0.727000635,0.001391236
FCHO2,-0.996866101,0.001392952
CSTDC5,2.075899356,0.00139385
ITGAM,3.030630301,0.001396829
GMPPB,1.836842464,0.001408792
Q99M08,-2.243439898,0.001411182
MRPS21,-3.478306919,0.001417022
UBXN6,1.569964042,0.001419259
GSTA1;GSTA2,3.569294604,0.001425392
COL12A1,-3.29806273,0.001425392
ANKRD49,2.282852646,0.001425425
GABARAP,1.941858947,0.001427995
SRCIN1,-2.417496681,0.001430073
NUP93,-1.09485745,0.001437116
SFR1,1.17653277,0.001437351
MTARC2,-2.309707218,0.001438856
STAMBP,1.848110151,0.001441107
SMUG1,-0.876397047,0.00144182
DNAJC11,-2.98409794,0.001443096
COG4,5.565310065,0.001443096
RPS6KA3,1.674826643,0.001445934
ATL2,-1.109178162,0.001445934
CPSF6,-2.319353028,0.001460465
SERPING1,1.072146846,0.001468942
FAM98B,-1.716176885,0.001478785
GNPDA1,1.800997636,0.001489185
ARF5,2.039118972,0.001489185
RPS2,-2.128762175,0.001519479
HMGB1,-2.738404988,0.001520994
RILPL1,1.277130833,0.001523087
GSK3B,0.935908505,0.001527799
RPS4X,-2.939846165,0.001531289
RAB10,-0.624471606,0.001535622
UBA2,1.875668184,0.001535622
LUZP1,-3.360999835,0.001550975
OBOX1,2.197717783,0.001552699
MYOM3,-3.036377801,0.001553629
HRC,-2.413084838,0.001557248
HSP90AA1,0.705326374,0.001557248
CLTB,1.600509838,0.001557248
UGP2,1.006034392,0.001557248
RNPS1,-3.81697556,0.001557248
EHD1,-0.968802855,0.001557248
HYPK,1.820327284,0.001560696
LRG1,1.115029511,0.001560762
ZC3HAV1,-1.856707294,0.001561085
MAP1B,-0.978332791,0.001575202
UCHL5,1.02609896,0.001575202
PARN,1.735313303,0.001577341
UGDH,1.499491917,0.001578126
RUVBL2,-1.008077094,0.001580236
PPP2R5D,1.922882644,0.001590496
TARDBP,-1.819858398,0.001590902
BPHL,0.585829357,0.001599954
HTATIP2,-1.403313275,0.001618684
GNAQ,-0.908816561,0.001621347
KRTAP11-1,-5.784989206,0.001628031
ALDOC,1.553488558,0.001628932
SLC25A3,-2.030585716,0.001629257
MAPK13,-1.458164804,0.001629257
RPS23,-4.553197628,0.0016301
RDH11,-1.494221006,0.0016301
CORO1C,-1.684994525,0.001634975
ACADVL,-1.167172415,0.001637314
PHOSPHO1,0.769664284,0.001648013
EPS8L2,-1.609306452,0.001655712
NUCB1,1.064560606,0.001657166
LAMP2,2.094170564,0.001658555
RUVBL1,-1.292373496,0.001658555
PYM1,-1.525406881,0.001658555
DAP,-2.415306953,0.001658555
CA2,1.841947147,0.001658629
P4HB,0.849708745,0.001658629
ETHE1,1.727988906,0.001668878
S100A13,-1.177554434,0.00167353
MRPS2,-2.029794889,0.001680654
LYPD5,-3.660093007,0.001680654
BLVRB,2.030228993,0.001693094
MPRIP,-1.661601042,0.001698574
SLC25A24,-2.011020743,0.001699021
COQ6,-2.382177829,0.001722002
HAL,-0.761708238,0.001724843
OXR1,1.210211754,0.001724843
FXN,1.003162698,0.001725214
THOC2,-3.3224878,0.001725692
BAIAP2,-1.277165438,0.001727387
NDUFB9,-3.223591773,0.001738828
SETD3,-1.212001732,0.001749544
TOMM34,-0.513978619,0.001755645
OXSR1,1.553612175,0.001759007
PRMT3,-2.4179566,0.001759007
ANKRD39,2.152574848,0.001759007
ECE1,0.933866966,0.00176569
RMDN3,-1.888937981,0.001775445
SCGB2B20,6.214426803,0.001795133
CCDC51,-4.166733492,0.001801825
HIBADH,1.563509628,0.001801825
COL15A1,-1.544122229,0.001808538
PRMT7,1.856671374,0.001809541
PPM1G,1.004500753,0.001810034
MAP6,-1.120515325,0.001833679
DYSF,-2.085434622,0.001849252
ALOX5AP,-3.251581783,0.001854648
CUTC,1.073064137,0.001854648
Q91V76,4.424384309,0.001861796
RANBP1,1.858174883,0.001865554
RPL18,-3.834298501,0.001865554
URAH,1.365975459,0.001868062
SEC14L4,1.497017698,0.001879602
ISCA2,2.022353011,0.001880099
OSBPL8,-3.242335311,0.001884148
NDUFS6,-1.546114685,0.001919156
ALDH6A1,1.573668183,0.00192239
DIP2B,-2.119219479,0.001932875
FKBP10,1.571336637,0.001932875
CDC42,1.280334594,0.001934241
POSTN,-0.69451261,0.001943336
SAE1,1.780938679,0.001967079
AGT,2.351195042,0.001973609
FOSL2,-2.325429274,0.001973609
H1-1,-4.429100564,0.001998614
STEAP4,-0.93072556,0.002002558
BDH1,-8.543089825,0.002002595
PNP,1.98048074,0.002005726
ELP1,-1.233899817,0.002009603
DEGS1,-1.427673319,0.002010291
NXN,1.021957353,0.002020689
PIPOX,2.215768513,0.002021085
GIT1,-1.379055783,0.0020247
CD151,-1.261675908,0.00202663
IL36RN,2.304484459,0.002034052
EIF3J1;EIF3J2,-0.742277051,0.002039405
GAS7,-2.410907988,0.002057051
PHKG1,-1.1108913,0.002060062
FMNL2,-1.878509499,0.002070713
PCK2,1.495885302,0.002078097
PES1,-1.720465701,0.00208309
MSH6,-1.037692342,0.002085777
GPR155,3.444594792,0.002094807
PKP3,-3.653559884,0.002102345
ATP5PD,-1.27783976,0.002117534
ZNFX1,-4.437258976,0.002117675
S100A3,2.897800162,0.002122615
CASP6,1.563490414,0.00212465
CAPRIN1,-1.009040249,0.002127286
PPID,-0.95509052,0.002127286
PSMA1,-1.106780606,0.002131683
EZR,-1.463157893,0.002132769
MCPT4,-4.345065184,0.002136622
IRGQ,1.039123238,0.002137786
NDUFB10,-2.004051857,0.002137786
ERC1,-1.805980763,0.002139819
SARS1,0.81291722,0.00214347
FKBP4,1.291800398,0.00214347
SEC23A,-0.927219345,0.00214347
ABCD3,-1.057970171,0.002164123
MUG1,3.120435889,0.002168115
DHRS7,-1.674353341,0.00217011
ILF3,-2.965495542,0.00217011
PDK3,-1.95994765,0.002175051
CHAD,-2.737018193,0.002175846
RBMS2,-0.922097543,0.002175846
DSC3,-1.723149553,0.002189751
DNASE2,2.10175008,0.002189751
DYNLRB1,1.525097801,0.002201884
GCDH,-1.784819038,0.002210445
AK2,1.095100105,0.002217711
GET3,1.245139994,0.002222389
SIRPA,1.499311242,0.002222389
SF3B3,-0.963624873,0.002223556
PPP1R7,1.676967896,0.002231074
MBNL1,-2.820835126,0.002231074
ATP1A1,-0.906514924,0.002244197
FNDC1,-1.859868886,0.002244525
GJA1,-1.922820233,0.002244525
TMEM109,-1.55824384,0.002244525
FRMD8,-1.203490446,0.002244525
SRM,1.846030888,0.002258445
NUDT10;NUDT11,2.270462164,0.002258973
SPTBN2,-1.750042655,0.002258973
SRI,1.375281293,0.002258973
FBXO6,0.559601244,0.002258973
TXNDC9,-2.902940483,0.002259649
CREG1,1.916832031,0.002259952
GSN,1.062324297,0.00227355
POP1,-1.520659991,0.00227355
NECTIN1,1.568357079,0.002280568
NUDT16,-2.308118153,0.002285302
JPT2,1.382715546,0.002290546
SCIN,1.135140174,0.00230052
GMPR,1.591955374,0.00230052
LMCD1,1.534153541,0.002302177
LTV1,-0.910349544,0.002304358
GUCA2B,0.202206378,0.002309369
DNM1,-1.63489273,0.002309369
GRB2,0.860826732,0.002311546
EIF4G3,-1.062356892,0.002311546
MAT2B,2.522336318,0.002329871
ITIH4,1.310011645,0.002331841
GTPBP4,-0.843745985,0.002334274
VAMP5,-1.544609054,0.00233681
LAMTOR1,-1.489573299,0.002337263
BCKDK,-2.689888615,0.002348842
VAMP8,-0.960272737,0.002350773
GPSM3,1.901747532,0.002350773
NDUFS5,-1.446709753,0.002359161
RPL4,-1.888267335,0.002359161
HECTD4,-1.867967637,0.00236281
GPT,1.431876861,0.002363923
YME1L1,-2.1610219,0.002381322
ROCK2,-0.689897961,0.002384554
UCK2,0.904757499,0.002384554
STT3A,-1.46323142,0.00238686
DCXR,3.870295212,0.00238686
CLTA,1.568135203,0.00239058
EML4,-0.973223359,0.002409796
NAA10,1.174073999,0.002414475
TXNDC5,0.898526932,0.002416464
TMED10,-1.46039416,0.00242162
DAAM1,-0.761084935,0.002425703
ITM2B,-1.359861707,0.002431627
UBE3A,0.709192509,0.002434594
ENPP4,-1.603850967,0.002439519
MINPP1,2.42167603,0.002440526
COL22A1,-0.979903277,0.002443034
CFL1,1.589436553,0.002443034
S100G,4.656866718,0.002446958
ACP5,-2.546911721,0.002450797
SERPINB6B,2.054428823,0.002452533
LYSMD2,0.809974599,0.002460047
NR2C2AP,1.612651284,0.002460905
CDNF,2.685726867,0.002461145
HIF1AN,0.618695629,0.002468869
PNISR,-0.53019106,0.00246903
UTP14A,-2.193589549,0.00246903
PPP1R13L,-2.33258103,0.002473255
LMAN1,-1.067194304,0.002482688
PHGDH,1.564605998,0.002487131
EIF4E2,-1.097515628,0.002487131
TAGLN,2.390403243,0.002498709
CEND1,-0.873633699,0.002498709
EXOG,-1.335241776,0.002501179
DCTN3,-1.104226988,0.002503073
PDS5A,-0.368261698,0.002507012
EIF4B,-1.321010016,0.002512029
CDC26,1.305844157,0.002513942
USP11,2.886430482,0.002516587
SLC25A31,-0.75800967,0.002523327
DNMT3A,-1.043246591,0.002531059
UBE2N,1.43647265,0.002531059
MTCH2,-1.723115608,0.002531059
DHX9,-2.158487579,0.002540991
LPAR1,1.947599825,0.002540991
PDS5B,-1.085350957,0.002546319
BIN1,-1.49575099,0.002547723
DAGLB,2.191782258,0.00254912
LCMT1,1.070313857,0.002553984
TPMT,0.41090992,0.002563433
MIF,3.1352358,0.002563433
SLC25A4,-1.996688063,0.002563433
LMOD2,-1.206348819,0.002563433
MYEF2,-1.987335899,0.002563433
RDH1,-2.74053803,0.002563433
IL1F10,1.415832649,0.002563433
DERA,1.590808773,0.002563433
CELF1,-0.488526648,0.002568408
COL7A1,-2.891806078,0.002568408
ENDOU,1.525698342,0.00257277
